date	total	linux-64	linux-aarch64	noarch	osx-64	osx-arm64
2025-07-15	429779054	190209727	1490257	141970185	95671799	437086
2025-07-16	430131204	190396811	1497946	142062144	95733766	440537
2025-07-17	430376767	190525884	1505203	142119870	95781978	443832
2025-07-18	430614036	190649508	1512814	142176464	95828028	447222
2025-07-19	430832275	190765552	1519626	142222958	95870609	453530
2025-07-20	431124758	190906968	1527142	142313057	95921182	456409
2025-07-21	431433721	191061468	1535647	142407340	95970010	459256
2025-07-22	431684635	191187498	1549276	142471300	96013812	462749
2025-07-23	431943897	191320436	1559339	142536598	96061135	466389
2025-07-24	432190747	191448596	1568100	142594025	96110098	469928
2025-07-25	432430658	191570292	1576562	142654962	96155110	473732
