version	total
2.6	10180
2.9	9065
2.10	6729
2.11	9348
2.12	5263
2.13	5266
2.14	5258
2.15	5254
2.15.1	5331
2.15.2	5278
2.16	5156
2.16.1	6488
2.16.2	18053
2.16.4	3555
2.17.6	10727
2.18.0	10157
2.18.1	3010
2.19.0	22818
2.22.0	10134
2.22.1	9878
2.23.0	15872
