version	total
0.0.1	3758
0.0.2	3708
0.0.3	3703
0.0.5	3664
0.0.6	3598
0.0.7	3587
0.0.8	3562
0.0.9	4677
0.1	3431
0.2.1	3425
0.2.2	3854
0.2.4	2824
