version	total
1.2.4	1710
1.2.5	1684
1.2.6	1693
1.3.0	1576
1.3.1	1541
1.4.0	1433
1.4.1	898
1.4.2	914
1.4.3	731
1.4.4	543
1.4.5	627
1.4.6	578
1.5.0	281
1.5.1	248
1.5.2	150
1.5.3	138
1.5.4	131
1.5.5	159
