version	total
1.0.0	2799
1.2.0	2743
1.4.0	2782
1.6.0	2707
1.8.0	2749
1.8.2	2747
1.10.3	2002
1.12.0	2096
1.16.0	2038
1.18.4	1503
1.20.0	1780
1.24.0	578
