version	total
1.16.0	3137
1.18.0	3461
1.20.0	3075
1.22.0	3057
1.23.0	3048
1.24.0	3341
1.26.0	2979
1.28.0	3102
1.31.0	2246
1.34.0	1729
1.36.0	1443
1.40.0	324
1.44.0	83
