version	total
1.4.0	2941
1.6.2	4502
1.8.0	4371
1.10.0	4058
1.12.0	4106
1.14.0	3344
1.16.0	3623
1.20.0	2565
1.22.1	1738
1.24.0	1703
1.28.0	813
1.32.1	630
