version	total
1.4.0	7723
1.6.0	5363
1.8.0	5942
1.10.0	5276
1.12.0	2729
1.14.0	2051
1.16.0	2359
1.18.0	2145
1.20.0	3339
1.22.0	3084
1.24.0	3157
1.28.0	2206
1.30.0	1685
1.32.0	1426
1.36.0	671
1.40.0	64
