version	total
0.2.9	1305
0.2.10	1817
0.2.11	1715
0.2.12	1638
0.2.13	1245
0.2.14	1220
0.2.15	1143
0.2.16	1033
0.2.17	969
0.2.18	857
0.2.19	1158
