version	total
1.24.0	7738
1.28.0	5284
1.30.0	6312
1.32.0	5231
1.34.0	2750
1.36.0	2689
1.38.0	2671
1.40.0	2323
1.42.0	3633
1.44.0	2173
1.46.0	1948
1.50.0	1827
1.52.0	1300
1.54.0	1025
1.58.0	253
