version	total
1.42.0	6161
1.44.0	5240
1.46.0	5424
1.48.0	2730
1.50.0	3144
1.52.0	2760
1.54.0	2731
1.56.0	2977
1.58.0	2706
1.60.0	2645
1.64.0	1976
1.66.0	1452
1.68.0	1162
1.72.0	207
