version	total
1.24.0	2723
1.26.0	2690
1.28.0	2612
1.30.0	2675
1.32.0	3008
1.34.0	2704
1.36.0	2814
1.40.0	1894
1.42.0	1298
1.44.0	996
1.48.0	260
