version	total
1.4.0	5332
1.4.5	5164
1.6.3	5652
1.8.1	2923
1.10.8	3001
1.12.0	4390
1.14.0	3001
1.16.0	3003
1.16.1	2964
1.18.0	2983
1.20.0	2804
1.24.0	2191
1.26.0	2879
1.28.0	1466
1.32.0	774
1.36.0	55
