version	total
0.112.0	5430
0.114.0	5876
1.2.0	2538
1.4.0	2300
1.6.0	2367
1.8.0	2091
1.9.0	2197
1.10.0	3675
1.12.0	3059
1.14.0	3094
1.18.0	2205
1.20.0	1716
1.22.0	1429
1.26.0	693
1.30.0	75
