version	total
0.1.0b7	1145
0.1.0	1957
0.1.1	1933
0.2.0	1919
1.0.0	1754
1.1.0	1562
1.2.0	1587
1.2.1	1461
1.2.2	1317
1.3.0	1244
1.3.1	1121
1.3.2	1162
1.3.3	949
1.4.0	990
1.4.1	1469
1.5.0	123
