version	total
1.2.0	5733
1.6.0	5967
1.8.0	3119
1.10.0	3073
1.12.0	3072
1.14.0	3043
1.16.0	3352
1.18.0	3010
1.20.0	2821
1.24.0	2174
1.26.0	1680
1.28.0	1301
1.32.0	513
1.36.0	70
