version	total
2.0.0.dev18	1185
2.0.0.dev19	1193
2.0.0.dev20	1001
2.0.0.dev21	1172
2.0.1.dev21	1641
2.0.1	971
2.0.2	725
2.0.3	549
2.0.4	577
2.0.5	59
